#;Country;Population;Yearly Change;Net Change;Density;Land area (km2);Migrants (net);Fert. Rate;Med. Age ;Urban Pop;World Share
1;Russia;145,934,462;0.0004;62,206;9;16,376,870;182,456;1.8;40;0.74;0.0187
2;Germany;83,783,942;0.0032;266,897;240;348,560;543,822;1.6;46;0.76;0.0107
3;United Kingdom;67,886,011;0.0053;355,839;281;241,930;260,650;1.8;40;0.83;0.0087
4;France;65,273,511;0.0022;143,783;119;547,557;36,527;1.9;42;0.82;0.0084
5;Italy;60,461,826;-0.0015;-88,249;206;294,140;148,943;1.3;47;0.69;0.0078
6;Spain;46,754,778;0.0004;18,002;94;498,800;40,000;1.3;45;0.8;0.006
7;Ukraine;43,733,762;-0.0059;-259,876;75;579,320;10,000;1.4;41;0.69;0.0056
8;Poland;37,846,611;-0.0011;-41,157;124;306,230;-29,395;1.4;42;0.6;0.0049
9;Romania;19,237,691;-0.0066;-126,866;84;230,170;-73,999;1.6;43;0.55;0.0025
10;Netherlands;17,134,872;0.0022;37,742;508;33,720;16,000;1.7;43;0.92;0.0022
11;Belgium;11,589,623;0.0044;50,295;383;30,280;48,000;1.7;42;0.98;0.0015
12;Czech Republic (Czechia);10,708,981;0.0018;19,772;139;77,240;22,011;1.6;43;0.74;0.0014
13;Greece;10,423,054;-0.0048;-50,401;81;128,900;-16,000;1.3;46;0.85;0.0013
14;Portugal;10,196,709;-0.0029;-29,478;111;91,590;-6,000;1.3;46;0.66;0.0013
15;Sweden;10,099,265;0.0063;62,886;25;410,340;40,000;1.9;41;0.88;0.0013
16;Hungary;9,660,351;-0.0025;-24,328;107;90,530;6,000;1.5;43;0.72;0.0012
17;Belarus;9,449,323;-0.0003;-3,088;47;202,910;8,730;1.7;40;0.79;0.0012
18;Austria;9,006,398;0.0057;51,296;109;82,409;65,000;1.5;43;0.57;0.0012
19;Serbia;8,737,371;-0.004;-34,864;100;87,460;4,000;1.5;42;0.56;0.0011
20;Switzerland;8,654,622;0.0074;63,257;219;39,516;52,000;1.5;43;0.74;0.0011
21;Bulgaria;6,948,445;-0.0074;-51,674;64;108,560;-4,800;1.6;45;0.76;0.0009
22;Denmark;5,792,202;0.0035;20,326;137;42,430;15,200;1.8;42;0.88;0.0007
23;Finland;5,540,720;0.0015;8,564;18;303,890;14,000;1.5;43;0.86;0.0007
24;Slovakia;5,459,642;0.0005;2,629;114;48,088;1,485;1.5;41;0.54;0.0007
25;Norway;5,421,241;0.0079;42,384;15;365,268;28,000;1.7;40;0.83;0.0007
26;Ireland;4,937,786;0.0113;55,291;72;68,890;23,604;1.8;38;0.63;0.0006
27;Croatia;4,105,267;-0.0061;-25,037;73;55,960;-8,001;1.4;44;0.58;0.0005
28;Moldova;4,033,963;-0.0023;-9,300;123;32,850;-1,387;1.3;38;0.43;0.0005
29;Bosnia and Herzegovina;3,280,819;-0.0061;-20,181;64;51,000;-21,585;1.3;43;0.52;0.0004
30;Albania;2,877,797;-0.0011;-3,120;105;27,400;-14,000;1.6;36;0.63;0.0004
31;Lithuania;2,722,289;-0.0135;-37,338;43;62,674;-32,780;1.7;45;0.71;0.0003
32;North Macedonia;2,083,374;0;-85;83;25,220;-1,000;1.5;39;0.59;0.0003
33;Slovenia;2,078,938;0.0001;284;103;20,140;2,000;1.6;45;0.55;0.0003
34;Latvia;1,886,198;-0.0108;-20,545;30;62,200;-14,837;1.7;44;0.69;0.0002
35;Estonia;1,326,535;0.0007;887;31;42,390;3,911;1.6;42;0.68;0.0002
36;Montenegro;628,066;0.0001;79;47;13,450;-480;1.8;39;0.68;0.0001
37;Luxembourg;625,978;0.0166;10,249;242;2,590;9,741;1.5;40;0.88;0.0001
38;Malta;441,543;0.0027;1,171;1,380;320;900;1.5;43;0.93;0.0001
39;Iceland;341,243;0.0065;2,212;3;100,250;380;1.8;37;0.94;0
40;Channel Islands;173,863;0.0093;1,604;915;190;1,351;1.5;43;0.3;0
41;Isle of Man;85,033;0.0053;449;149;570;;N.A.;N.A.;0.53;0
42;Andorra;77,265;0.0016;123;164;470;;N.A.;N.A.;0.88;0
43;Faeroe Islands;48,863;0.0038;185;35;1,396;;N.A.;N.A.;0.43;0
44;Monaco;39,242;0.0071;278;26,337;1;;N.A.;N.A.;N.A.;0
45;Liechtenstein;38,128;0.0029;109;238;160;;N.A.;N.A.;0.15;0
46;San Marino;33,931;0.0021;71;566;60;;N.A.;N.A.;0.97;0
47;Gibraltar;33,691;-0.0003;-10;3,369;10;;N.A.;N.A.;N.A.;0
48;Holy See;801;0.0025;2;2,003;0;;N.A.;N.A.;N.A.;0
